Sample in Buffer	Sample in Window	Output_Int
647	647	8000	
648	648	8002	
649	649	8003	
650	650	8003	
651	651	8002	
652	652	8000	
653	653	7997	
654	654	7993	
655	655	7988	
656	656	7983	
657	657	7979	
658	658	7977	
659	659	7977	
660	660	7979	
661	661	7983	
662	662	7988	
663	663	7993	
664	664	7997	
665	665	8000	
666	666	8002	
667	667	8003	
668	668	8003	
669	669	8002	
670	670	8000	
671	671	7997	
672	672	7993	
673	673	7988	
674	674	7983	
675	675	7979	
676	676	7977	
677	677	7977	
678	678	7979	
679	679	7983	
680	680	7988	
681	681	7993	
682	682	7997	
683	683	8000	
684	684	8002	
685	685	8003	
686	686	8003	
687	687	8002	
688	688	8000	
689	689	7997	
690	690	7993	
691	691	7988	
692	692	7983	
693	693	7979	
694	694	7977	
695	695	7977	
696	696	7979	
697	697	7983	
698	698	7988	
699	699	7993	
700	700	7997	
701	701	8000	
702	702	8002	
703	703	8003	
704	704	8003	
705	705	8002	
706	706	8000	
707	707	7997	
708	708	7993	
709	709	7988	
710	710	7983	
711	711	7979	
712	712	7977	
713	713	7977	
714	714	7979	
715	715	7983	
716	716	7988	
717	717	7993	
718	718	7997	
719	719	8000	
720	720	8002	
721	721	8003	
722	722	8003	
723	723	8002	
724	724	8000	
725	725	7997	
726	726	7993	
727	727	7988	
728	728	7983	
729	729	7979	
730	730	7977	
731	731	7977	
732	732	7979	
733	733	7983	
734	734	7988	
735	735	7993	
736	736	7997	
737	737	8000	
738	738	8002	
739	739	8003	
740	740	8003	
741	741	8002	
742	742	8000	
743	743	7997	
744	744	7993	
745	745	7988	
746	746	7983	
747	747	7979	
748	748	7977	
749	749	7977	
750	750	7979	
751	751	7983	
752	752	7988	
753	753	7993	
754	754	7997	
755	755	8000	
756	756	8002	
757	757	8003	
758	758	8003	
759	759	8002	
760	760	8000	
761	761	7997	
762	762	7993	
763	763	7988	
764	764	7983	
765	765	7979	
766	766	7977	
767	767	7977	
768	768	7979	
769	769	7983	
770	770	7988	
771	771	7993	
772	772	7997	
773	773	8000	
774	774	8002	
775	775	8003	
776	776	8003	
777	777	8002	
778	778	8000	
779	779	7997	
780	780	7993	
781	781	7988	
782	782	7983	
783	783	7979	
784	784	7977	
785	785	7977	
786	786	7979	
787	787	7983	
788	788	7988	
789	789	7993	
790	790	7997	
791	791	8000	
792	792	8002	
793	793	8003	
794	794	8003	
795	795	8002	
796	796	8000	
797	797	7997	
798	798	7993	
799	799	7988	
800	800	7983	
801	801	7979	
802	802	7977	
803	803	7977	
804	804	7979	
805	805	7983	
806	806	7988	
807	807	7993	
808	808	7997	
809	809	8000	
810	810	8002	
811	811	8003	
812	812	8003	
813	813	8002	
814	814	8000	
815	815	7997	
816	816	7993	
817	817	7988	
818	818	7983	
819	819	7979	
820	820	7977	
821	821	7977	
822	822	7979	
823	823	7983	
824	824	7988	
825	825	7993	
826	826	7997	
827	827	8000	
828	828	8002	
829	829	8003	
830	830	8003	
831	831	8002	
832	832	8000	
833	833	7997	
834	834	7993	
835	835	7988	
836	836	7983	
837	837	7979	
838	838	7977	
839	839	7977	
840	840	7979	
841	841	7983	
842	842	7988	
843	843	7993	
844	844	7997	
845	845	8000	
846	846	8002	
847	847	8003	
848	848	8003	
849	849	8002	
850	850	8000	
851	851	7997	
852	852	7993	
853	853	7988	
854	854	7983	
855	855	7979	
856	856	7977	
857	857	7977	
858	858	7979	
859	859	7983	
860	860	7988	
861	861	7993	
862	862	7997	
863	863	8000	
864	864	8002	
865	865	8003	
866	866	8003	
867	867	8002	
868	868	8000	
869	869	7997	
870	870	7993	
871	871	7988	
872	872	7983	
873	873	7979	
874	874	7977	
875	875	7977	
876	876	7979	
877	877	7983	
878	878	7988	
879	879	7993	
880	880	7997	
881	881	8000	
882	882	8002	
883	883	8003	
884	884	8003	
885	885	8002	
886	886	8000	
887	887	7997	
888	888	7993	
889	889	7988	
890	890	7983	
891	891	7979	
892	892	7977	
893	893	7977	
894	894	7979	
895	895	7983	
896	896	7988	
897	897	7993	
898	898	7997	
899	899	8000	
900	900	8002	
901	901	8003	
902	902	8003	
903	903	8002	
904	904	8000	
905	905	7997	
906	906	7993	
907	907	7988	
908	908	7983	
909	909	7979	
910	910	7977	
911	911	7977	
912	912	7979	
913	913	7983	
914	914	7988	
915	915	7993	
916	916	7997	
917	917	8000	
918	918	8002	
919	919	8003	
920	920	8003	
921	921	8002	
922	922	8000	
923	923	7997	
924	924	7993	
925	925	7988	
926	926	7983	
927	927	7979	
928	928	7977	
929	929	7977	
930	930	7979	
931	931	7983	
932	932	7988	
933	933	7993	
934	934	7997	
935	935	8000	
936	936	8002	
937	937	8003	
938	938	8003	
939	939	8002	
940	940	8000	
941	941	7997	
942	942	7993	
943	943	7988	
944	944	7983	
945	945	7979	
946	946	7977	
947	947	7977	
948	948	7979	
949	949	7983	
950	950	7988	
951	951	7993	
952	952	7997	
953	953	8000	
954	954	8002	
955	955	8003	
956	956	8003	
957	957	8002	
958	958	8000	
959	959	7997	
960	960	7993	
961	961	7988	
962	962	7983	
963	963	7979	
964	964	7977	
965	965	7977	
966	966	7979	
967	967	7983	
968	968	7988	
969	969	7993	
970	970	7997	
971	971	8000	
972	972	8002	
973	973	8003	
974	974	8003	
975	975	8002	
976	976	8000	
977	977	7997	
978	978	7993	
979	979	7988	
980	980	7983	
981	981	7979	
982	982	7977	
983	983	7977	
984	984	7979	
985	985	7983	
986	986	7988	
987	987	7993	
988	988	7997	
989	989	8000	
990	990	8002	
991	991	8003	
992	992	8003	
993	993	8002	
994	994	8000	
995	995	7997	
996	996	7993	
997	997	7988	
998	998	7983	
999	999	7979	
1000	1000	7977	
1001	1001	7977	
1002	1002	7979	
1003	1003	7983	
1004	1004	7988	
1005	1005	7993	
1006	1006	7997	
1007	1007	8000	
1008	1008	8002	
1009	1009	8003	
1010	1010	8003	
1011	1011	8002	
1012	1012	8000	
1013	1013	7997	
1014	1014	7993	
1015	1015	7988	
1016	1016	7983	
1017	1017	7979	
1018	1018	7977	
1019	1019	7977	
1020	1020	7979	
1021	1021	7983	
1022	1022	7988	
1023	1023	7993	
